image_path,identity,group,gender,age_group
data\processed\bfw\asian\n000009\0010_01.jpg,n000009,asian,females,
data\processed\bfw\asian\n000009\0011_01.jpg,n000009,asian,females,
data\processed\bfw\asian\n000009\0012_01.jpg,n000009,asian,females,
data\processed\bfw\asian\n000009\0013_01.jpg,n000009,asian,females,
data\processed\bfw\asian\n000009\0017_01.jpg,n000009,asian,females,
data\processed\bfw\asian\n000009\0040_01.jpg,n000009,asian,females,
data\processed\bfw\asian\n000009\0043_01.jpg,n000009,asian,females,
data\processed\bfw\asian\n000009\0063_01.jpg,n000009,asian,females,
data\processed\bfw\asian\n000009\0080_02.jpg,n000009,asian,females,
data\processed\bfw\asian\n000009\0081_01.jpg,n000009,asian,females,
data\processed\bfw\asian\n000009\0083_01.jpg,n000009,asian,females,
data\processed\bfw\asian\n000009\0102_01.jpg,n000009,asian,females,
data\processed\bfw\asian\n000009\0120_01.jpg,n000009,asian,females,
data\processed\bfw\asian\n000009\0122_02.jpg,n000009,asian,females,
data\processed\bfw\asian\n000009\0125_01.jpg,n000009,asian,females,
data\processed\bfw\asian\n000009\0133_02.jpg,n000009,asian,females,
data\processed\bfw\asian\n000009\0160_01.jpg,n000009,asian,females,
data\processed\bfw\asian\n000009\0188_01.jpg,n000009,asian,females,
data\processed\bfw\asian\n000009\0195_01.jpg,n000009,asian,females,
data\processed\bfw\asian\n000009\0205_01.jpg,n000009,asian,females,
data\processed\bfw\asian\n000009\0216_01.jpg,n000009,asian,females,
data\processed\bfw\asian\n000009\0243_01.jpg,n000009,asian,females,
data\processed\bfw\asian\n000009\0244_01.jpg,n000009,asian,females,
data\processed\bfw\asian\n000009\0354_03.jpg,n000009,asian,females,
data\processed\bfw\asian\n000009\0356_06.jpg,n000009,asian,females,
data\processed\bfw\asian\n000135\0005_01.jpg,n000135,asian,females,
data\processed\bfw\asian\n000135\0009_01.jpg,n000135,asian,females,
data\processed\bfw\asian\n000135\0013_02.jpg,n000135,asian,females,
data\processed\bfw\asian\n000135\0017_01.jpg,n000135,asian,females,
data\processed\bfw\asian\n000135\0031_01.jpg,n000135,asian,females,
data\processed\bfw\asian\n000135\0034_01.jpg,n000135,asian,females,
data\processed\bfw\asian\n000135\0035_01.jpg,n000135,asian,females,
data\processed\bfw\asian\n000135\0036_01.jpg,n000135,asian,females,
data\processed\bfw\asian\n000135\0039_04.jpg,n000135,asian,females,
data\processed\bfw\asian\n000135\0045_01.jpg,n000135,asian,females,
data\processed\bfw\asian\n000135\0060_01.jpg,n000135,asian,females,
data\processed\bfw\asian\n000135\0081_01.jpg,n000135,asian,females,
data\processed\bfw\asian\n000135\0082_02.jpg,n000135,asian,females,
data\processed\bfw\asian\n000135\0087_01.jpg,n000135,asian,females,
data\processed\bfw\asian\n000135\0101_01.jpg,n000135,asian,females,
data\processed\bfw\asian\n000135\0112_01.jpg,n000135,asian,females,
data\processed\bfw\asian\n000135\0114_01.jpg,n000135,asian,females,
data\processed\bfw\asian\n000135\0119_01.jpg,n000135,asian,females,
data\processed\bfw\asian\n000135\0138_10.jpg,n000135,asian,females,
data\processed\bfw\asian\n000135\0208_01.jpg,n000135,asian,females,
data\processed\bfw\asian\n000135\0228_01.jpg,n000135,asian,females,
data\processed\bfw\asian\n000135\0255_01.jpg,n000135,asian,females,
data\processed\bfw\asian\n000135\0272_01.jpg,n000135,asian,females,
data\processed\bfw\asian\n000135\0465_01.jpg,n000135,asian,females,
data\processed\bfw\asian\n000135\0467_01.jpg,n000135,asian,females,
data\processed\bfw\asian\n000137\0004_01.jpg,n000137,asian,females,
data\processed\bfw\asian\n000137\0012_01.jpg,n000137,asian,females,
data\processed\bfw\asian\n000137\0023_01.jpg,n000137,asian,females,
data\processed\bfw\asian\n000137\0032_01.jpg,n000137,asian,females,
data\processed\bfw\asian\n000137\0033_01.jpg,n000137,asian,females,
data\processed\bfw\asian\n000137\0050_01.jpg,n000137,asian,females,
data\processed\bfw\asian\n000137\0051_02.jpg,n000137,asian,females,
data\processed\bfw\asian\n000137\0055_01.jpg,n000137,asian,females,
data\processed\bfw\asian\n000137\0059_01.jpg,n000137,asian,females,
data\processed\bfw\asian\n000137\0080_02.jpg,n000137,asian,females,
data\processed\bfw\asian\n000137\0082_02.jpg,n000137,asian,females,
data\processed\bfw\asian\n000137\0088_01.jpg,n000137,asian,females,
data\processed\bfw\asian\n000137\0097_01.jpg,n000137,asian,females,
data\processed\bfw\asian\n000137\0100_01.jpg,n000137,asian,females,
data\processed\bfw\asian\n000137\0110_01.jpg,n000137,asian,females,
data\processed\bfw\asian\n000137\0112_01.jpg,n000137,asian,females,
data\processed\bfw\asian\n000137\0117_01.jpg,n000137,asian,females,
data\processed\bfw\asian\n000137\0120_01.jpg,n000137,asian,females,
