attribute,metric,max_value,max_group,min_value,min_group,range,mean,std
group,far,0.11328976034858387,asian,0.11328976034858387,asian,0.0,0.11328976034858387,0.0
group,frr,0.11328976034858387,asian,0.11328976034858387,asian,0.0,0.11328976034858387,0.0
group,tar,0.8867102396514162,asian,0.8867102396514162,asian,0.0,0.8867102396514162,0.0
group,accuracy,0.8867102396514162,asian,0.8867102396514162,asian,0.0,0.8867102396514162,0.0
group,eer,0.11328976034858386,asian,0.11328976034858386,asian,0.0,0.11328976034858386,0.0
gender,far,0.18421052631578946,males,0.1568627450980392,females,0.02734778121775025,0.17053663570691435,0.013673890608875125
gender,frr,0.12121212121212122,males,0.10884353741496598,females,0.012368583797155233,0.1150278293135436,0.006184291898577617
gender,tar,0.891156462585034,females,0.8787878787878788,males,0.01236858379715522,0.8849721706864564,0.00618429189857761
gender,accuracy,0.8714859437751004,females,0.8669950738916257,males,0.004490869883474691,0.869240508833363,0.0022454349417373454
gender,eer,0.13157894736842105,males,0.12585034013605445,females,0.005728607232366595,0.12871464375223773,0.0028643036161832974
