image1,image2,identity1,identity2,demographic1,demographic2,gender1,gender2,age1,age2,label,cosine_similarity,euclidean_distance,cosine_distance
data\processed\bfw\asian\n009279\0185_01.jpg,data\processed\bfw\asian\n004935\0165_02.jpg,n009279,n004935,asian,asian,females,males,,,0,0.06762943,27.431433,0.93237054
data\processed\bfw\asian\n000135\0081_01.jpg,data\processed\bfw\asian\n000135\0208_01.jpg,n000135,n000135,asian,asian,females,females,,,1,0.30431813,24.863691,0.69568187
data\processed\bfw\asian\n004870\0028_10.jpg,data\processed\bfw\asian\n004870\0156_01.jpg,n004870,n004870,asian,asian,females,females,,,1,0.45836383,21.006039,0.54163617
data\processed\bfw\asian\n007899\0095_01.jpg,data\processed\bfw\asian\n007899\0213_01.jpg,n007899,n007899,asian,asian,females,females,,,1,0.29983643,22.306145,0.7001636
data\processed\bfw\asian\n008978\0035_01.jpg,data\processed\bfw\asian\n003355\0252_02.jpg,n008978,n003355,asian,asian,females,males,,,0,-0.033654124,30.53739,1.0336541
data\processed\bfw\asian\n003557\0053_01.jpg,data\processed\bfw\asian\n003557\0088_04.jpg,n003557,n003557,asian,asian,females,females,,,1,0.22496365,20.769997,0.77503633
data\processed\bfw\asian\n003489\0138_01.jpg,data\processed\bfw\asian\n004681\0233_01.jpg,n003489,n004681,asian,asian,males,males,,,0,0.089716,25.787523,0.910284
data\processed\bfw\asian\n006358\0054_02.jpg,data\processed\bfw\asian\n006358\0125_01.jpg,n006358,n006358,asian,asian,females,females,,,1,0.51575536,21.623184,0.48424464
data\processed\bfw\asian\n004860\0107_01.jpg,data\processed\bfw\asian\n003635\0109_04.jpg,n004860,n003635,asian,asian,females,males,,,0,-0.056200948,28.380894,1.056201
data\processed\bfw\asian\n004800\0390_01.jpg,data\processed\bfw\asian\n003463\0165_01.jpg,n004800,n003463,asian,asian,males,males,,,0,-0.03471136,30.062262,1.0347114
data\processed\bfw\asian\n005177\0321_01.jpg,data\processed\bfw\asian\n001496\0642_01.jpg,n005177,n001496,asian,asian,males,males,,,0,0.07517494,27.60289,0.9248251
data\processed\bfw\asian\n003449\0418_01.jpg,data\processed\bfw\asian\n004109\0554_02.jpg,n003449,n004109,asian,asian,females,males,,,0,0.030549165,26.946405,0.96945083
data\processed\bfw\asian\n003357\0034_01.jpg,data\processed\bfw\asian\n000132\0094_02__face_0.jpg,n003357,n000132,asian,asian,females,males,,,0,0.01991426,25.76717,0.98008573
data\processed\bfw\asian\n007738\0058_02.jpg,data\processed\bfw\asian\n007738\0440_01.jpg,n007738,n007738,asian,asian,females,females,,,1,0.033099808,22.967596,0.96690017
data\processed\bfw\asian\n005216\0017_01.jpg,data\processed\bfw\asian\n005216\0119_01.jpg,n005216,n005216,asian,asian,females,females,,,1,0.32346132,23.907345,0.6765387
data\processed\bfw\asian\n000009\0188_01.jpg,data\processed\bfw\asian\n000009\0244_01.jpg,n000009,n000009,asian,asian,females,females,,,1,0.014147115,26.315714,0.9858529
data\processed\bfw\asian\n008148\0102_01.jpg,data\processed\bfw\asian\n004549\0073_01.jpg,n008148,n004549,asian,asian,females,females,,,0,0.2213058,21.769295,0.7786942
data\processed\bfw\asian\n000856\0285_01.jpg,data\processed\bfw\asian\n000856\0538_01.jpg,n000856,n000856,asian,asian,females,females,,,1,0.27740997,22.65399,0.72259
data\processed\bfw\asian\n006619\0334_03.jpg,data\processed\bfw\asian\n001572\0349_01.jpg,n006619,n001572,asian,asian,females,females,,,0,0.059900843,24.651747,0.9400992
data\processed\bfw\asian\n006418\0071_04.jpg,data\processed\bfw\asian\n003467\0188_03.jpg,n006418,n003467,asian,asian,females,females,,,0,0.13834052,22.270643,0.86165947
data\processed\bfw\asian\n004791\0208_01.jpg,data\processed\bfw\asian\n004791\0440_01.jpg,n004791,n004791,asian,asian,males,males,,,1,0.538447,18.524878,0.46155298
data\processed\bfw\asian\n003155\0043_01.jpg,data\processed\bfw\asian\n003155\1012_07.jpg,n003155,n003155,asian,asian,males,males,,,1,0.1860918,29.512474,0.8139082
data\processed\bfw\asian\n009279\0179_01.jpg,data\processed\bfw\asian\n009279\0193_01.jpg,n009279,n009279,asian,asian,females,females,,,1,0.21842656,23.724491,0.7815734
data\processed\bfw\asian\n004794\0015_05.jpg,data\processed\bfw\asian\n004794\0043_01.jpg,n004794,n004794,asian,asian,males,males,,,1,0.3889044,21.03246,0.6110956
data\processed\bfw\asian\n000873\0085_02.jpg,data\processed\bfw\asian\n000873\0257_02.jpg,n000873,n000873,asian,asian,males,males,,,1,0.24386694,23.926105,0.7561331
data\processed\bfw\asian\n007385\0500_01.jpg,data\processed\bfw\asian\n005474\0176_04.jpg,n007385,n005474,asian,asian,females,females,,,0,0.15869084,26.29478,0.8413092
data\processed\bfw\asian\n006223\0167_01.jpg,data\processed\bfw\asian\n004877\0100_01.jpg,n006223,n004877,asian,asian,females,females,,,0,0.041474167,24.116356,0.95852584
data\processed\bfw\asian\n001976\0237_01.jpg,data\processed\bfw\asian\n006634\0023_08.jpg,n001976,n006634,asian,asian,males,females,,,0,-0.066647865,27.327066,1.0666479
data\processed\bfw\asian\n003463\0179_02.jpg,data\processed\bfw\asian\n005077\0104_01.jpg,n003463,n005077,asian,asian,males,females,,,0,0.016133057,28.992702,0.98386693
data\processed\bfw\asian\n005078\0183_01.jpg,data\processed\bfw\asian\n005078\0638_01.jpg,n005078,n005078,asian,asian,males,males,,,1,0.5884645,20.476725,0.4115355
data\processed\bfw\asian\n000873\0106_01.jpg,data\processed\bfw\asian\n000840\0060_01.jpg,n000873,n000840,asian,asian,males,females,,,0,-0.06294143,26.777634,1.0629414
data\processed\bfw\asian\n000009\0122_02.jpg,data\processed\bfw\asian\n000009\0244_01.jpg,n000009,n000009,asian,asian,females,females,,,1,0.0020513453,24.144304,0.99794865
data\processed\bfw\asian\n000872\0085_01.jpg,data\processed\bfw\asian\n000872\0203_01.jpg,n000872,n000872,asian,asian,males,males,,,1,0.41420162,23.847603,0.5857984
data\processed\bfw\asian\n006634\0135_01.jpg,data\processed\bfw\asian\n006149\0005_01.jpg,n006634,n006149,asian,asian,females,females,,,0,0.10176601,24.572355,0.898234
data\processed\bfw\asian\n007664\0085_01.jpg,data\processed\bfw\asian\n002725\0007_03.jpg,n007664,n002725,asian,asian,females,females,,,0,-0.15739514,34.102764,1.1573951
data\processed\bfw\asian\n003357\0074_01.jpg,data\processed\bfw\asian\n007378\0049_01.jpg,n003357,n007378,asian,asian,females,females,,,0,0.18918335,24.335033,0.81081665
data\processed\bfw\asian\n000139\0261_01.jpg,data\processed\bfw\asian\n005116\0072_01.jpg,n000139,n005116,asian,asian,females,males,,,0,-0.0057463977,28.840643,1.0057464
data\processed\bfw\asian\n006148\0040_01.jpg,data\processed\bfw\asian\n006148\0607_02.jpg,n006148,n006148,asian,asian,females,females,,,1,0.20545566,26.378803,0.79454434
data\processed\bfw\asian\n000160\0367_03.jpg,data\processed\bfw\asian\n006619\0553_01.jpg,n000160,n006619,asian,asian,females,females,,,0,0.081848055,22.62239,0.918152
data\processed\bfw\asian\n002320\0006_01.jpg,data\processed\bfw\asian\n004469\0019_02.jpg,n002320,n004469,asian,asian,males,males,,,0,0.0023696946,28.490223,0.9976303
data\processed\bfw\asian\n000138\0164_01.jpg,data\processed\bfw\asian\n000138\0326_01.jpg,n000138,n000138,asian,asian,females,females,,,1,0.24845739,21.691826,0.7515426
data\processed\bfw\asian\n004725\0341_01.jpg,data\processed\bfw\asian\n006634\0166_01.jpg,n004725,n006634,asian,asian,males,females,,,0,-0.025543125,31.40067,1.0255431
data\processed\bfw\asian\n007380\0070_01.jpg,data\processed\bfw\asian\n007380\0525_01.jpg,n007380,n007380,asian,asian,females,females,,,1,0.009936702,25.267637,0.9900633
data\processed\bfw\asian\n009287\0160_01.jpg,data\processed\bfw\asian\n009287\0185_01.jpg,n009287,n009287,asian,asian,females,females,,,1,0.5678644,21.194078,0.43213558
data\processed\bfw\asian\n005071\0055_02.jpg,data\processed\bfw\asian\n005063\0030_01.jpg,n005071,n005063,asian,asian,males,females,,,0,0.040263552,25.411888,0.95973647
data\processed\bfw\asian\n004681\0101_01.jpg,data\processed\bfw\asian\n005216\0307_01.jpg,n004681,n005216,asian,asian,males,females,,,0,0.053088047,26.47779,0.94691193
data\processed\bfw\asian\n008934\0108_01.jpg,data\processed\bfw\asian\n000840\0036_03.jpg,n008934,n000840,asian,asian,females,females,,,0,0.078087315,27.30039,0.92191267
data\processed\bfw\asian\n000873\0111_01.jpg,data\processed\bfw\asian\n000873\0496_01.jpg,n000873,n000873,asian,asian,males,males,,,1,0.44811055,20.889147,0.5518894
data\processed\bfw\asian\n002320\0171_01.jpg,data\processed\bfw\asian\n000135\0272_01.jpg,n002320,n000135,asian,asian,males,females,,,0,-0.16566928,30.02701,1.1656693
data\processed\bfw\asian\n000138\0067_01.jpg,data\processed\bfw\asian\n000138\0087_03.jpg,n000138,n000138,asian,asian,females,females,,,1,0.47387394,19.811577,0.526126
data\processed\bfw\asian\n008401\0399_01.jpg,data\processed\bfw\asian\n009287\0033_01.jpg,n008401,n009287,asian,asian,females,females,,,0,0.05181029,26.704502,0.94818974
data\processed\bfw\asian\n000161\0241_01.jpg,data\processed\bfw\asian\n006634\0135_01.jpg,n000161,n006634,asian,asian,males,females,,,0,-0.15729587,28.812344,1.1572958
data\processed\bfw\asian\n004935\0061_01.jpg,data\processed\bfw\asian\n009277\0113_01.jpg,n004935,n009277,asian,asian,males,females,,,0,0.01952844,28.614973,0.98047155
data\processed\bfw\asian\n004221\0243_01.jpg,data\processed\bfw\asian\n004221\0421_02.jpg,n004221,n004221,asian,asian,males,males,,,1,0.018580254,32.506664,0.98141974
data\processed\bfw\asian\n006203\0109_03.jpg,data\processed\bfw\asian\n004466\0052_01.jpg,n006203,n004466,asian,asian,females,males,,,0,-0.14383385,26.476126,1.1438339
data\processed\bfw\asian\n000132\0238_02__face_0.jpg,data\processed\bfw\asian\n005474\0239_01.jpg,n000132,n005474,asian,asian,males,females,,,0,-0.090281546,27.935062,1.0902815
data\processed\bfw\asian\n004467\0677_01.jpg,data\processed\bfw\asian\n006203\0088_01.jpg,n004467,n006203,asian,asian,males,females,,,0,0.042924307,24.699614,0.9570757
data\processed\bfw\asian\n004686\0030_01.jpg,data\processed\bfw\asian\n004686\0458_01.jpg,n004686,n004686,asian,asian,males,males,,,1,0.46391776,20.204857,0.53608227
data\processed\bfw\asian\n005116\0172_01.jpg,data\processed\bfw\asian\n005116\0228_03.jpg,n005116,n005116,asian,asian,males,males,,,1,0.4934871,20.67001,0.5065129
data\processed\bfw\asian\n009042\0017_03.jpg,data\processed\bfw\asian\n009042\0059_01.jpg,n009042,n009042,asian,asian,females,females,,,1,0.7970277,15.928133,0.2029723
data\processed\bfw\asian\n003288\0022_01.jpg,data\processed\bfw\asian\n003288\0078_01.jpg,n003288,n003288,asian,asian,females,females,,,1,0.36616665,20.30277,0.63383335
