attribute,metric,max_value,max_group,min_value,min_group,range,mean,std
group,far,0.09368191721132897,asian,0.09368191721132897,asian,0.0,0.09368191721132897,0.0
group,frr,0.09586056644880174,asian,0.09586056644880174,asian,0.0,0.09586056644880174,0.0
group,tar,0.9041394335511983,asian,0.9041394335511983,asian,0.0,0.9041394335511983,0.0
group,accuracy,0.9052287581699346,asian,0.9052287581699346,asian,0.0,0.9052287581699346,0.0
group,eer,0.0958605664488017,asian,0.0958605664488017,asian,0.0,0.0958605664488017,0.0
gender,far,0.17647058823529413,females,0.13157894736842105,males,0.044891640866873084,0.1540247678018576,0.022445820433436542
gender,frr,0.1054421768707483,females,0.07878787878787878,males,0.026654298082869524,0.09211502782931355,0.013327149041434762
gender,tar,0.9212121212121213,males,0.8945578231292517,females,0.026654298082869565,0.9078849721706865,0.013327149041434783
gender,accuracy,0.9113300492610837,males,0.8654618473895582,females,0.045868201871525516,0.888395948325321,0.022934100935762758
gender,eer,0.13605442176870758,females,0.10303030303030296,males,0.03302411873840462,0.11954236239950528,0.01651205936920231
