image1,image2,identity1,identity2,demographic1,demographic2,gender1,gender2,age1,age2,label,cosine_similarity,euclidean_distance,cosine_distance
data\processed\bfw\asian\n009279\0185_01.jpg,data\processed\bfw\asian\n004935\0165_02.jpg,n009279,n004935,asian,asian,females,males,,,0,0.19287793,27.56835,0.80712205
data\processed\bfw\asian\n000135\0081_01.jpg,data\processed\bfw\asian\n000135\0208_01.jpg,n000135,n000135,asian,asian,females,females,,,1,0.501986,23.789026,0.49801397
data\processed\bfw\asian\n004870\0028_10.jpg,data\processed\bfw\asian\n004870\0156_01.jpg,n004870,n004870,asian,asian,females,females,,,1,0.513718,23.715832,0.486282
data\processed\bfw\asian\n007899\0095_01.jpg,data\processed\bfw\asian\n007899\0213_01.jpg,n007899,n007899,asian,asian,females,females,,,1,0.6218309,19.927137,0.37816912
data\processed\bfw\asian\n008978\0035_01.jpg,data\processed\bfw\asian\n003355\0252_02.jpg,n008978,n003355,asian,asian,females,males,,,0,0.065076835,31.534489,0.9349232
data\processed\bfw\asian\n003557\0053_01.jpg,data\processed\bfw\asian\n003557\0088_04.jpg,n003557,n003557,asian,asian,females,females,,,1,0.7870505,14.787718,0.21294951
data\processed\bfw\asian\n003489\0138_01.jpg,data\processed\bfw\asian\n004681\0233_01.jpg,n003489,n004681,asian,asian,males,males,,,0,0.09402651,32.403683,0.9059735
data\processed\bfw\asian\n006358\0054_02.jpg,data\processed\bfw\asian\n006358\0125_01.jpg,n006358,n006358,asian,asian,females,females,,,1,0.6688448,19.477976,0.33115518
data\processed\bfw\asian\n004860\0107_01.jpg,data\processed\bfw\asian\n003635\0109_04.jpg,n004860,n003635,asian,asian,females,males,,,0,0.08609866,31.764399,0.9139013
data\processed\bfw\asian\n004800\0390_01.jpg,data\processed\bfw\asian\n003463\0165_01.jpg,n004800,n003463,asian,asian,males,males,,,0,0.39682654,24.18009,0.6031735
data\processed\bfw\asian\n005177\0321_01.jpg,data\processed\bfw\asian\n001496\0642_01.jpg,n005177,n001496,asian,asian,males,males,,,0,0.23374689,28.997559,0.7662531
data\processed\bfw\asian\n003449\0418_01.jpg,data\processed\bfw\asian\n004109\0554_02.jpg,n003449,n004109,asian,asian,females,males,,,0,0.2823083,27.384386,0.71769166
data\processed\bfw\asian\n003357\0034_01.jpg,data\processed\bfw\asian\n000132\0094_02__face_0.jpg,n003357,n000132,asian,asian,females,males,,,0,0.12916155,29.676239,0.87083846
data\processed\bfw\asian\n007738\0058_02.jpg,data\processed\bfw\asian\n007738\0440_01.jpg,n007738,n007738,asian,asian,females,females,,,1,0.63417464,19.71583,0.36582536
data\processed\bfw\asian\n005216\0017_01.jpg,data\processed\bfw\asian\n005216\0119_01.jpg,n005216,n005216,asian,asian,females,females,,,1,0.70522445,17.376854,0.29477555
data\processed\bfw\asian\n000009\0188_01.jpg,data\processed\bfw\asian\n000009\0244_01.jpg,n000009,n000009,asian,asian,females,females,,,1,0.47078052,22.20085,0.5292195
data\processed\bfw\asian\n008148\0102_01.jpg,data\processed\bfw\asian\n004549\0073_01.jpg,n008148,n004549,asian,asian,females,females,,,0,0.4625992,23.464117,0.53740084
data\processed\bfw\asian\n000856\0285_01.jpg,data\processed\bfw\asian\n000856\0538_01.jpg,n000856,n000856,asian,asian,females,females,,,1,0.46649587,22.968283,0.5335041
data\processed\bfw\asian\n006619\0334_03.jpg,data\processed\bfw\asian\n001572\0349_01.jpg,n006619,n001572,asian,asian,females,females,,,0,0.42953247,24.195065,0.57046753
data\processed\bfw\asian\n006418\0071_04.jpg,data\processed\bfw\asian\n003467\0188_03.jpg,n006418,n003467,asian,asian,females,females,,,0,0.3598583,27.11502,0.6401417
data\processed\bfw\asian\n004791\0208_01.jpg,data\processed\bfw\asian\n004791\0440_01.jpg,n004791,n004791,asian,asian,males,males,,,1,0.6877808,16.766575,0.3122192
data\processed\bfw\asian\n003155\0043_01.jpg,data\processed\bfw\asian\n003155\1012_07.jpg,n003155,n003155,asian,asian,males,males,,,1,0.44960988,24.088478,0.5503901
data\processed\bfw\asian\n009279\0179_01.jpg,data\processed\bfw\asian\n009279\0193_01.jpg,n009279,n009279,asian,asian,females,females,,,1,0.58877283,21.41341,0.41122717
data\processed\bfw\asian\n004794\0015_05.jpg,data\processed\bfw\asian\n004794\0043_01.jpg,n004794,n004794,asian,asian,males,males,,,1,0.7010126,16.734177,0.2989874
data\processed\bfw\asian\n000873\0085_02.jpg,data\processed\bfw\asian\n000873\0257_02.jpg,n000873,n000873,asian,asian,males,males,,,1,0.4690468,25.556149,0.53095317
data\processed\bfw\asian\n007385\0500_01.jpg,data\processed\bfw\asian\n005474\0176_04.jpg,n007385,n005474,asian,asian,females,females,,,0,0.52021945,22.31973,0.47978055
data\processed\bfw\asian\n006223\0167_01.jpg,data\processed\bfw\asian\n004877\0100_01.jpg,n006223,n004877,asian,asian,females,females,,,0,0.29694965,27.519354,0.7030504
data\processed\bfw\asian\n001976\0237_01.jpg,data\processed\bfw\asian\n006634\0023_08.jpg,n001976,n006634,asian,asian,males,females,,,0,0.1258575,27.838251,0.8741425
data\processed\bfw\asian\n003463\0179_02.jpg,data\processed\bfw\asian\n005077\0104_01.jpg,n003463,n005077,asian,asian,males,females,,,0,-0.08959912,32.02266,1.0895991
data\processed\bfw\asian\n005078\0183_01.jpg,data\processed\bfw\asian\n005078\0638_01.jpg,n005078,n005078,asian,asian,males,males,,,1,0.7811383,16.007702,0.2188617
data\processed\bfw\asian\n000873\0106_01.jpg,data\processed\bfw\asian\n000840\0060_01.jpg,n000873,n000840,asian,asian,males,females,,,0,0.4359408,23.95219,0.5640592
data\processed\bfw\asian\n000009\0122_02.jpg,data\processed\bfw\asian\n000009\0244_01.jpg,n000009,n000009,asian,asian,females,females,,,1,0.4155798,24.211853,0.5844202
data\processed\bfw\asian\n000872\0085_01.jpg,data\processed\bfw\asian\n000872\0203_01.jpg,n000872,n000872,asian,asian,males,males,,,1,0.6610381,18.242628,0.3389619
data\processed\bfw\asian\n006634\0135_01.jpg,data\processed\bfw\asian\n006149\0005_01.jpg,n006634,n006149,asian,asian,females,females,,,0,0.11118408,30.090254,0.88881594
data\processed\bfw\asian\n007664\0085_01.jpg,data\processed\bfw\asian\n002725\0007_03.jpg,n007664,n002725,asian,asian,females,females,,,0,0.2175736,28.594212,0.7824264
data\processed\bfw\asian\n003357\0074_01.jpg,data\processed\bfw\asian\n007378\0049_01.jpg,n003357,n007378,asian,asian,females,females,,,0,0.4880346,22.498388,0.5119654
data\processed\bfw\asian\n000139\0261_01.jpg,data\processed\bfw\asian\n005116\0072_01.jpg,n000139,n005116,asian,asian,females,males,,,0,0.047762323,31.569986,0.95223767
data\processed\bfw\asian\n006148\0040_01.jpg,data\processed\bfw\asian\n006148\0607_02.jpg,n006148,n006148,asian,asian,females,females,,,1,0.51737624,21.715656,0.48262376
data\processed\bfw\asian\n000160\0367_03.jpg,data\processed\bfw\asian\n006619\0553_01.jpg,n000160,n006619,asian,asian,females,females,,,0,0.36003533,25.03281,0.6399647
data\processed\bfw\asian\n002320\0006_01.jpg,data\processed\bfw\asian\n004469\0019_02.jpg,n002320,n004469,asian,asian,males,males,,,0,0.24057092,27.843481,0.7594291
data\processed\bfw\asian\n000138\0164_01.jpg,data\processed\bfw\asian\n000138\0326_01.jpg,n000138,n000138,asian,asian,females,females,,,1,0.77465606,14.871316,0.22534394
data\processed\bfw\asian\n004725\0341_01.jpg,data\processed\bfw\asian\n006634\0166_01.jpg,n004725,n006634,asian,asian,males,females,,,0,-0.002936904,32.549294,1.002937
data\processed\bfw\asian\n007380\0070_01.jpg,data\processed\bfw\asian\n007380\0525_01.jpg,n007380,n007380,asian,asian,females,females,,,1,0.5974189,20.095848,0.4025811
data\processed\bfw\asian\n009287\0160_01.jpg,data\processed\bfw\asian\n009287\0185_01.jpg,n009287,n009287,asian,asian,females,females,,,1,0.85298896,12.061307,0.14701104
data\processed\bfw\asian\n005071\0055_02.jpg,data\processed\bfw\asian\n005063\0030_01.jpg,n005071,n005063,asian,asian,males,females,,,0,0.013556536,31.939304,0.98644346
