attribute,metric,max_value,max_group,min_value,min_group,range,mean,std
group,far,0.14161220043572983,asian,0.14161220043572983,asian,0.0,0.14161220043572983,0.0
group,frr,0.14161220043572983,asian,0.14161220043572983,asian,0.0,0.14161220043572983,0.0
group,tar,0.8583877995642701,asian,0.8583877995642701,asian,0.0,0.8583877995642701,0.0
group,accuracy,0.8583877995642701,asian,0.8583877995642701,asian,0.0,0.8583877995642701,0.0
group,eer,0.14161220043572986,asian,0.14161220043572986,asian,0.0,0.14161220043572986,0.0
gender,far,0.21568627450980393,females,0.18421052631578946,males,0.03147574819401447,0.1999484004127967,0.015737874097007234
gender,frr,0.14625850340136054,females,0.13333333333333333,males,0.012925170068027209,0.13979591836734695,0.006462585034013604
gender,tar,0.8666666666666667,males,0.8537414965986394,females,0.012925170068027292,0.860204081632653,0.006462585034013646
gender,accuracy,0.8571428571428571,males,0.8253012048192772,females,0.03184165232357994,0.8412220309810672,0.01592082616178997
gender,eer,0.16666666666666666,females,0.15789473684210525,males,0.008771929824561403,0.16228070175438597,0.0043859649122807015
