image1,image2,identity1,identity2,demographic1,demographic2,gender1,gender2,age1,age2,label,cosine_similarity,euclidean_distance,cosine_distance
data\processed\bfw\asian\n009279\0185_01.jpg,data\processed\bfw\asian\n004935\0165_02.jpg,n009279,n004935,asian,asian,females,males,,,0,0.13510884,37.298027,0.8648912
data\processed\bfw\asian\n000135\0081_01.jpg,data\processed\bfw\asian\n000135\0208_01.jpg,n000135,n000135,asian,asian,females,females,,,1,0.16097155,38.83641,0.8390285
data\processed\bfw\asian\n004870\0028_10.jpg,data\processed\bfw\asian\n004870\0156_01.jpg,n004870,n004870,asian,asian,females,females,,,1,0.30997762,33.859745,0.69002235
data\processed\bfw\asian\n007899\0095_01.jpg,data\processed\bfw\asian\n007899\0213_01.jpg,n007899,n007899,asian,asian,females,females,,,1,0.15855473,32.577976,0.84144527
data\processed\bfw\asian\n008978\0035_01.jpg,data\processed\bfw\asian\n003355\0252_02.jpg,n008978,n003355,asian,asian,females,males,,,0,0.061724458,41.035885,0.9382755
data\processed\bfw\asian\n003557\0053_01.jpg,data\processed\bfw\asian\n003557\0088_04.jpg,n003557,n003557,asian,asian,females,females,,,1,0.31597582,28.151411,0.6840242
data\processed\bfw\asian\n003489\0138_01.jpg,data\processed\bfw\asian\n004681\0233_01.jpg,n003489,n004681,asian,asian,males,males,,,0,-0.06983818,40.437443,1.0698382
data\processed\bfw\asian\n006358\0054_02.jpg,data\processed\bfw\asian\n006358\0125_01.jpg,n006358,n006358,asian,asian,females,females,,,1,0.4246275,34.461353,0.57537246
data\processed\bfw\asian\n004860\0107_01.jpg,data\processed\bfw\asian\n003635\0109_04.jpg,n004860,n003635,asian,asian,females,males,,,0,0.009755712,38.579548,0.99024427
data\processed\bfw\asian\n004800\0390_01.jpg,data\processed\bfw\asian\n003463\0165_01.jpg,n004800,n003463,asian,asian,males,males,,,0,0.11045866,37.58052,0.8895413
data\processed\bfw\asian\n005177\0321_01.jpg,data\processed\bfw\asian\n001496\0642_01.jpg,n005177,n001496,asian,asian,males,males,,,0,0.007066251,43.96914,0.99293375
data\processed\bfw\asian\n003449\0418_01.jpg,data\processed\bfw\asian\n004109\0554_02.jpg,n003449,n004109,asian,asian,females,males,,,0,0.14741768,36.4138,0.85258234
data\processed\bfw\asian\n003357\0034_01.jpg,data\processed\bfw\asian\n000132\0094_02__face_0.jpg,n003357,n000132,asian,asian,females,males,,,0,-0.05570346,41.454304,1.0557034
data\processed\bfw\asian\n007738\0058_02.jpg,data\processed\bfw\asian\n007738\0440_01.jpg,n007738,n007738,asian,asian,females,females,,,1,0.033255756,40.408344,0.96674424
data\processed\bfw\asian\n005216\0017_01.jpg,data\processed\bfw\asian\n005216\0119_01.jpg,n005216,n005216,asian,asian,females,females,,,1,0.20999566,33.143726,0.7900044
data\processed\bfw\asian\n000009\0188_01.jpg,data\processed\bfw\asian\n000009\0244_01.jpg,n000009,n000009,asian,asian,females,females,,,1,0.06551403,37.378086,0.934486
data\processed\bfw\asian\n008148\0102_01.jpg,data\processed\bfw\asian\n004549\0073_01.jpg,n008148,n004549,asian,asian,females,females,,,0,0.2818206,25.64892,0.7181794
data\processed\bfw\asian\n000856\0285_01.jpg,data\processed\bfw\asian\n000856\0538_01.jpg,n000856,n000856,asian,asian,females,females,,,1,0.21129891,36.11639,0.78870106
data\processed\bfw\asian\n006619\0334_03.jpg,data\processed\bfw\asian\n001572\0349_01.jpg,n006619,n001572,asian,asian,females,females,,,0,0.0047557126,36.505196,0.99524426
data\processed\bfw\asian\n006418\0071_04.jpg,data\processed\bfw\asian\n003467\0188_03.jpg,n006418,n003467,asian,asian,females,females,,,0,-0.0143145295,36.469406,1.0143145
data\processed\bfw\asian\n004791\0208_01.jpg,data\processed\bfw\asian\n004791\0440_01.jpg,n004791,n004791,asian,asian,males,males,,,1,0.44000137,31.43743,0.55999863
data\processed\bfw\asian\n003155\0043_01.jpg,data\processed\bfw\asian\n003155\1012_07.jpg,n003155,n003155,asian,asian,males,males,,,1,0.199988,38.40271,0.800012
data\processed\bfw\asian\n009279\0179_01.jpg,data\processed\bfw\asian\n009279\0193_01.jpg,n009279,n009279,asian,asian,females,females,,,1,0.31482938,32.179115,0.68517065
data\processed\bfw\asian\n004794\0015_05.jpg,data\processed\bfw\asian\n004794\0043_01.jpg,n004794,n004794,asian,asian,males,males,,,1,0.46557707,27.284489,0.53442293
data\processed\bfw\asian\n000873\0085_02.jpg,data\processed\bfw\asian\n000873\0257_02.jpg,n000873,n000873,asian,asian,males,males,,,1,0.24728294,35.26575,0.7527171
data\processed\bfw\asian\n007385\0500_01.jpg,data\processed\bfw\asian\n005474\0176_04.jpg,n007385,n005474,asian,asian,females,females,,,0,0.21469308,36.100193,0.78530693
data\processed\bfw\asian\n006223\0167_01.jpg,data\processed\bfw\asian\n004877\0100_01.jpg,n006223,n004877,asian,asian,females,females,,,0,0.23779523,29.416878,0.76220477
data\processed\bfw\asian\n001976\0237_01.jpg,data\processed\bfw\asian\n006634\0023_08.jpg,n001976,n006634,asian,asian,males,females,,,0,0.036595296,37.892387,0.9634047
data\processed\bfw\asian\n003463\0179_02.jpg,data\processed\bfw\asian\n005077\0104_01.jpg,n003463,n005077,asian,asian,males,females,,,0,-0.05308156,39.235203,1.0530815
data\processed\bfw\asian\n005078\0183_01.jpg,data\processed\bfw\asian\n005078\0638_01.jpg,n005078,n005078,asian,asian,males,males,,,1,0.46696055,28.591494,0.53303945
data\processed\bfw\asian\n000873\0106_01.jpg,data\processed\bfw\asian\n000840\0060_01.jpg,n000873,n000840,asian,asian,males,females,,,0,0.12892544,35.292435,0.87107456
data\processed\bfw\asian\n000009\0122_02.jpg,data\processed\bfw\asian\n000009\0244_01.jpg,n000009,n000009,asian,asian,females,females,,,1,0.13122717,35.709427,0.86877286
data\processed\bfw\asian\n000872\0085_01.jpg,data\processed\bfw\asian\n000872\0203_01.jpg,n000872,n000872,asian,asian,males,males,,,1,0.29441586,32.516277,0.70558417
data\processed\bfw\asian\n006634\0135_01.jpg,data\processed\bfw\asian\n006149\0005_01.jpg,n006634,n006149,asian,asian,females,females,,,0,-0.095804945,40.024956,1.0958049
data\processed\bfw\asian\n007664\0085_01.jpg,data\processed\bfw\asian\n002725\0007_03.jpg,n007664,n002725,asian,asian,females,females,,,0,-0.049830455,42.76889,1.0498304
data\processed\bfw\asian\n003357\0074_01.jpg,data\processed\bfw\asian\n007378\0049_01.jpg,n003357,n007378,asian,asian,females,females,,,0,0.20249891,29.306292,0.7975011
data\processed\bfw\asian\n000139\0261_01.jpg,data\processed\bfw\asian\n005116\0072_01.jpg,n000139,n005116,asian,asian,females,males,,,0,-0.03734537,39.759655,1.0373454
data\processed\bfw\asian\n006148\0040_01.jpg,data\processed\bfw\asian\n006148\0607_02.jpg,n006148,n006148,asian,asian,females,females,,,1,0.22090605,35.44373,0.779094
data\processed\bfw\asian\n000160\0367_03.jpg,data\processed\bfw\asian\n006619\0553_01.jpg,n000160,n006619,asian,asian,females,females,,,0,0.13888888,32.86071,0.8611111
data\processed\bfw\asian\n002320\0006_01.jpg,data\processed\bfw\asian\n004469\0019_02.jpg,n002320,n004469,asian,asian,males,males,,,0,0.051890675,41.082066,0.9481093
data\processed\bfw\asian\n000138\0164_01.jpg,data\processed\bfw\asian\n000138\0326_01.jpg,n000138,n000138,asian,asian,females,females,,,1,0.2065936,34.94865,0.79340637
data\processed\bfw\asian\n004725\0341_01.jpg,data\processed\bfw\asian\n006634\0166_01.jpg,n004725,n006634,asian,asian,males,females,,,0,-0.06571439,39.676086,1.0657144
data\processed\bfw\asian\n007380\0070_01.jpg,data\processed\bfw\asian\n007380\0525_01.jpg,n007380,n007380,asian,asian,females,females,,,1,-0.0023664094,37.588547,1.0023664
data\processed\bfw\asian\n009287\0160_01.jpg,data\processed\bfw\asian\n009287\0185_01.jpg,n009287,n009287,asian,asian,females,females,,,1,0.4701801,30.961098,0.5298199
data\processed\bfw\asian\n005071\0055_02.jpg,data\processed\bfw\asian\n005063\0030_01.jpg,n005071,n005063,asian,asian,males,females,,,0,0.06054519,37.585896,0.9394548
data\processed\bfw\asian\n004681\0101_01.jpg,data\processed\bfw\asian\n005216\0307_01.jpg,n004681,n005216,asian,asian,males,females,,,0,0.14855033,36.53346,0.85144967
data\processed\bfw\asian\n008934\0108_01.jpg,data\processed\bfw\asian\n000840\0036_03.jpg,n008934,n000840,asian,asian,females,females,,,0,0.16274531,35.11657,0.8372547
data\processed\bfw\asian\n000873\0111_01.jpg,data\processed\bfw\asian\n000873\0496_01.jpg,n000873,n000873,asian,asian,males,males,,,1,0.51787806,27.7993,0.48212194
data\processed\bfw\asian\n002320\0171_01.jpg,data\processed\bfw\asian\n000135\0272_01.jpg,n002320,n000135,asian,asian,males,females,,,0,-0.19025256,40.087513,1.1902525
data\processed\bfw\asian\n000138\0067_01.jpg,data\processed\bfw\asian\n000138\0087_03.jpg,n000138,n000138,asian,asian,females,females,,,1,0.314211,28.751465,0.685789
data\processed\bfw\asian\n008401\0399_01.jpg,data\processed\bfw\asian\n009287\0033_01.jpg,n008401,n009287,asian,asian,females,females,,,0,0.046152305,37.668262,0.9538477
data\processed\bfw\asian\n000161\0241_01.jpg,data\processed\bfw\asian\n006634\0135_01.jpg,n000161,n006634,asian,asian,males,females,,,0,-0.1033972,41.97834,1.1033973
data\processed\bfw\asian\n004935\0061_01.jpg,data\processed\bfw\asian\n009277\0113_01.jpg,n004935,n009277,asian,asian,males,females,,,0,-0.033995677,40.973694,1.0339956
data\processed\bfw\asian\n004221\0243_01.jpg,data\processed\bfw\asian\n004221\0421_02.jpg,n004221,n004221,asian,asian,males,males,,,1,0.08400898,42.21377,0.915991
data\processed\bfw\asian\n006203\0109_03.jpg,data\processed\bfw\asian\n004466\0052_01.jpg,n006203,n004466,asian,asian,females,males,,,0,0.17754215,40.996243,0.82245785
data\processed\bfw\asian\n000132\0238_02__face_0.jpg,data\processed\bfw\asian\n005474\0239_01.jpg,n000132,n005474,asian,asian,males,females,,,0,-0.071810074,42.9254,1.0718101
data\processed\bfw\asian\n004467\0677_01.jpg,data\processed\bfw\asian\n006203\0088_01.jpg,n004467,n006203,asian,asian,males,females,,,0,0.13956766,33.190575,0.8604323
data\processed\bfw\asian\n004686\0030_01.jpg,data\processed\bfw\asian\n004686\0458_01.jpg,n004686,n004686,asian,asian,males,males,,,1,0.3945602,30.648321,0.6054398
data\processed\bfw\asian\n005116\0172_01.jpg,data\processed\bfw\asian\n005116\0228_03.jpg,n005116,n005116,asian,asian,males,males,,,1,0.37669364,33.635674,0.6233064
data\processed\bfw\asian\n009042\0017_03.jpg,data\processed\bfw\asian\n009042\0059_01.jpg,n009042,n009042,asian,asian,females,females,,,1,0.73624283,21.77297,0.26375717
data\processed\bfw\asian\n003288\0022_01.jpg,data\processed\bfw\asian\n003288\0078_01.jpg,n003288,n003288,asian,asian,females,females,,,1,0.3114865,28.899408,0.6885135
data\processed\bfw\asian\n007089\0066_01.jpg,data\processed\bfw\asian\n006633\0056_01.jpg,n007089,n006633,asian,asian,females,females,,,0,-0.11189942,37.89159,1.1118994
data\processed\bfw\asian\n006159\0007_01.jpg,data\processed\bfw\asian\n005177\0321_01.jpg,n006159,n005177,asian,asian,females,males,,,0,-0.005569046,48.164314,1.0055691
