attribute,metric,max_value,max_group,min_value,min_group,range,mean,std
group,far,0.17647058823529413,asian,0.17647058823529413,asian,0.0,0.17647058823529413,0.0
group,frr,0.17647058823529413,asian,0.17647058823529413,asian,0.0,0.17647058823529413,0.0
group,tar,0.8235294117647058,asian,0.8235294117647058,asian,0.0,0.8235294117647058,0.0
group,accuracy,0.8235294117647058,asian,0.8235294117647058,asian,0.0,0.8235294117647058,0.0
group,eer,0.17647058823529416,asian,0.17647058823529416,asian,0.0,0.17647058823529416,0.0
gender,far,0.3088235294117647,females,0.18421052631578946,males,0.12461300309597526,0.2465170278637771,0.06230650154798763
gender,frr,0.2,males,0.16326530612244897,females,0.036734693877551045,0.1816326530612245,0.018367346938775522
gender,tar,0.8367346938775511,females,0.8,males,0.03673469387755102,0.8183673469387756,0.01836734693877551
gender,accuracy,0.8029556650246306,males,0.7771084337349398,females,0.025847231289690797,0.7900320493797852,0.012923615644845399
gender,eer,0.20588235294117646,females,0.1842105263157895,males,0.02167182662538697,0.19504643962848298,0.010835913312693485
