image1,image2,identity1,identity2,demographic1,demographic2,gender1,gender2,age1,age2,label,cosine_similarity,euclidean_distance,cosine_distance
data\processed\bfw\asian\n009279\0185_01.jpg,data\processed\bfw\asian\n004935\0165_02.jpg,n009279,n004935,asian,asian,females,males,,,0,0.1499714,12.261983,0.85002863
data\processed\bfw\asian\n000135\0081_01.jpg,data\processed\bfw\asian\n000135\0208_01.jpg,n000135,n000135,asian,asian,females,females,,,1,0.3746376,10.127537,0.6253624
data\processed\bfw\asian\n004870\0028_10.jpg,data\processed\bfw\asian\n004870\0156_01.jpg,n004870,n004870,asian,asian,females,females,,,1,0.34090027,9.781725,0.6590997
data\processed\bfw\asian\n007899\0095_01.jpg,data\processed\bfw\asian\n007899\0213_01.jpg,n007899,n007899,asian,asian,females,females,,,1,0.31857058,9.850833,0.6814294
data\processed\bfw\asian\n008978\0035_01.jpg,data\processed\bfw\asian\n003355\0252_02.jpg,n008978,n003355,asian,asian,females,males,,,0,0.105361745,12.331587,0.89463824
data\processed\bfw\asian\n003557\0053_01.jpg,data\processed\bfw\asian\n003557\0088_04.jpg,n003557,n003557,asian,asian,females,females,,,1,0.5166137,8.443621,0.48338628
data\processed\bfw\asian\n003489\0138_01.jpg,data\processed\bfw\asian\n004681\0233_01.jpg,n003489,n004681,asian,asian,males,males,,,0,0.19340646,9.909381,0.80659354
data\processed\bfw\asian\n006358\0054_02.jpg,data\processed\bfw\asian\n006358\0125_01.jpg,n006358,n006358,asian,asian,females,females,,,1,0.35400993,11.386025,0.6459901
data\processed\bfw\asian\n004860\0107_01.jpg,data\processed\bfw\asian\n003635\0109_04.jpg,n004860,n003635,asian,asian,females,males,,,0,0.12150302,10.474225,0.878497
data\processed\bfw\asian\n004800\0390_01.jpg,data\processed\bfw\asian\n003463\0165_01.jpg,n004800,n003463,asian,asian,males,males,,,0,0.15545641,10.18388,0.8445436
data\processed\bfw\asian\n005177\0321_01.jpg,data\processed\bfw\asian\n001496\0642_01.jpg,n005177,n001496,asian,asian,males,males,,,0,0.13053519,11.22796,0.8694648
data\processed\bfw\asian\n003449\0418_01.jpg,data\processed\bfw\asian\n004109\0554_02.jpg,n003449,n004109,asian,asian,females,males,,,0,0.059031274,10.070619,0.94096875
data\processed\bfw\asian\n003357\0034_01.jpg,data\processed\bfw\asian\n000132\0094_02__face_0.jpg,n003357,n000132,asian,asian,females,males,,,0,0.2276963,10.314157,0.7723037
data\processed\bfw\asian\n007738\0058_02.jpg,data\processed\bfw\asian\n007738\0440_01.jpg,n007738,n007738,asian,asian,females,females,,,1,-0.0983318,12.935994,1.0983318
data\processed\bfw\asian\n005216\0017_01.jpg,data\processed\bfw\asian\n005216\0119_01.jpg,n005216,n005216,asian,asian,females,females,,,1,0.46781656,9.303217,0.5321834
data\processed\bfw\asian\n000009\0188_01.jpg,data\processed\bfw\asian\n000009\0244_01.jpg,n000009,n000009,asian,asian,females,females,,,1,-0.11593269,12.394989,1.1159327
data\processed\bfw\asian\n008148\0102_01.jpg,data\processed\bfw\asian\n004549\0073_01.jpg,n008148,n004549,asian,asian,females,females,,,0,0.47731453,8.21261,0.52268547
data\processed\bfw\asian\n000856\0285_01.jpg,data\processed\bfw\asian\n000856\0538_01.jpg,n000856,n000856,asian,asian,females,females,,,1,0.23962463,8.910465,0.7603754
data\processed\bfw\asian\n006619\0334_03.jpg,data\processed\bfw\asian\n001572\0349_01.jpg,n006619,n001572,asian,asian,females,females,,,0,0.13812387,11.758779,0.86187613
data\processed\bfw\asian\n006418\0071_04.jpg,data\processed\bfw\asian\n003467\0188_03.jpg,n006418,n003467,asian,asian,females,females,,,0,0.10220499,10.442871,0.897795
data\processed\bfw\asian\n004791\0208_01.jpg,data\processed\bfw\asian\n004791\0440_01.jpg,n004791,n004791,asian,asian,males,males,,,1,0.4008321,9.166889,0.59916794
data\processed\bfw\asian\n003155\0043_01.jpg,data\processed\bfw\asian\n003155\1012_07.jpg,n003155,n003155,asian,asian,males,males,,,1,0.28039035,10.739948,0.7196096
data\processed\bfw\asian\n009279\0179_01.jpg,data\processed\bfw\asian\n009279\0193_01.jpg,n009279,n009279,asian,asian,females,females,,,1,0.06825366,11.231519,0.93174636
data\processed\bfw\asian\n004794\0015_05.jpg,data\processed\bfw\asian\n004794\0043_01.jpg,n004794,n004794,asian,asian,males,males,,,1,0.45179236,7.8180647,0.54820764
data\processed\bfw\asian\n000873\0085_02.jpg,data\processed\bfw\asian\n000873\0257_02.jpg,n000873,n000873,asian,asian,males,males,,,1,0.33933762,10.096895,0.6606624
data\processed\bfw\asian\n007385\0500_01.jpg,data\processed\bfw\asian\n005474\0176_04.jpg,n007385,n005474,asian,asian,females,females,,,0,0.08367242,10.269859,0.9163276
data\processed\bfw\asian\n006223\0167_01.jpg,data\processed\bfw\asian\n004877\0100_01.jpg,n006223,n004877,asian,asian,females,females,,,0,0.28468978,9.908298,0.7153102
data\processed\bfw\asian\n001976\0237_01.jpg,data\processed\bfw\asian\n006634\0023_08.jpg,n001976,n006634,asian,asian,males,females,,,0,0.22066264,11.152943,0.77933735
data\processed\bfw\asian\n003463\0179_02.jpg,data\processed\bfw\asian\n005077\0104_01.jpg,n003463,n005077,asian,asian,males,females,,,0,-0.01163202,13.719317,1.011632
data\processed\bfw\asian\n005078\0183_01.jpg,data\processed\bfw\asian\n005078\0638_01.jpg,n005078,n005078,asian,asian,males,males,,,1,0.42529407,8.60541,0.57470596
data\processed\bfw\asian\n000873\0106_01.jpg,data\processed\bfw\asian\n000840\0060_01.jpg,n000873,n000840,asian,asian,males,females,,,0,0.16267703,10.737717,0.83732295
data\processed\bfw\asian\n000009\0122_02.jpg,data\processed\bfw\asian\n000009\0244_01.jpg,n000009,n000009,asian,asian,females,females,,,1,-0.031320363,11.028332,1.0313203
data\processed\bfw\asian\n000872\0085_01.jpg,data\processed\bfw\asian\n000872\0203_01.jpg,n000872,n000872,asian,asian,males,males,,,1,0.35331917,10.049666,0.64668083
data\processed\bfw\asian\n006634\0135_01.jpg,data\processed\bfw\asian\n006149\0005_01.jpg,n006634,n006149,asian,asian,females,females,,,0,0.06767335,13.351298,0.9323267
