image1,image2,identity1,identity2,demographic1,demographic2,gender1,gender2,age1,age2,label,cosine_similarity,euclidean_distance,cosine_distance
data\processed\lfw\lfw\Tanya_Holyk\Tanya_Holyk_0001.jpg,data\processed\lfw\lfw\David_Kelly\David_Kelly_0001.jpg,Tanya_Holyk,David_Kelly,lfw,lfw,,,,,0,-0.24524176,38.317307,1.2452418
data\processed\lfw\lfw\Darrell_Royal\Darrell_Royal_0001.jpg,data\processed\lfw\lfw\Horacio_Julio_Pina\Horacio_Julio_Pina_0001.jpg,Darrell_Royal,Horacio_Julio_Pina,lfw,lfw,,,,,0,0.08540903,31.777308,0.91459095
data\processed\lfw\lfw\Lynn_Abraham\Lynn_Abraham_0002.jpg,data\processed\lfw\lfw\Brian_Wells\Brian_Wells_0002.jpg,Lynn_Abraham,Brian_Wells,lfw,lfw,,,,,0,0.027530288,30.907606,0.9724697
data\processed\lfw\lfw\Jean_Chretien\Jean_Chretien_0012.jpg,data\processed\lfw\lfw\Jean_Chretien\Jean_Chretien_0020.jpg,Jean_Chretien,Jean_Chretien,lfw,lfw,,,,,1,0.64208066,19.984188,0.35791934
data\processed\lfw\lfw\Rick_Lu\Rick_Lu_0001.jpg,data\processed\lfw\lfw\Mike_Eskew\Mike_Eskew_0001.jpg,Rick_Lu,Mike_Eskew,lfw,lfw,,,,,0,0.3689733,26.431026,0.6310267
data\processed\lfw\lfw\Tariq_Aziz\Tariq_Aziz_0003.jpg,data\processed\lfw\lfw\Tariq_Aziz\Tariq_Aziz_0005.jpg,Tariq_Aziz,Tariq_Aziz,lfw,lfw,,,,,1,0.792684,16.019354,0.20731598
data\processed\lfw\lfw\Buddy_Ryan\Buddy_Ryan_0001.jpg,data\processed\lfw\lfw\Nate_Hybl\Nate_Hybl_0001.jpg,Buddy_Ryan,Nate_Hybl,lfw,lfw,,,,,0,-0.11815833,34.08662,1.1181583
data\processed\lfw\lfw\Kaisser_Bazan\Kaisser_Bazan_0001.jpg,data\processed\lfw\lfw\Antonio_Elias_Saca\Antonio_Elias_Saca_0001.jpg,Kaisser_Bazan,Antonio_Elias_Saca,lfw,lfw,,,,,0,0.22829996,29.674982,0.7717
data\processed\lfw\lfw\Liliana_Cavani\Liliana_Cavani_0001.jpg,data\processed\lfw\lfw\Fernando_Henrique_Cardoso\Fernando_Henrique_Cardoso_0006.jpg,Liliana_Cavani,Fernando_Henrique_Cardoso,lfw,lfw,,,,,0,-0.017066706,34.407356,1.0170667
data\processed\lfw\lfw\Paul_ONeill\Paul_ONeill_0008.jpg,data\processed\lfw\lfw\Paul_ONeill\Paul_ONeill_0009.jpg,Paul_ONeill,Paul_ONeill,lfw,lfw,,,,,1,0.46955884,23.598698,0.53044116
data\processed\lfw\lfw\Laura_Hernandez\Laura_Hernandez_0002.jpg,data\processed\lfw\lfw\Allen_Rock\Allen_Rock_0001.jpg,Laura_Hernandez,Allen_Rock,lfw,lfw,,,,,0,-0.0068827183,34.19793,1.0068827
data\processed\lfw\lfw\John_Elway\John_Elway_0001.jpg,data\processed\lfw\lfw\Martie_Maguire\Martie_Maguire_0001.jpg,John_Elway,Martie_Maguire,lfw,lfw,,,,,0,0.113242224,30.586477,0.8867578
data\processed\lfw\lfw\Jennifer_Connelly\Jennifer_Connelly_0004.jpg,data\processed\lfw\lfw\Jeremy_Wotherspoon\Jeremy_Wotherspoon_0001.jpg,Jennifer_Connelly,Jeremy_Wotherspoon,lfw,lfw,,,,,0,0.21609013,29.46657,0.78390986
data\processed\lfw\lfw\Hugo_Chavez\Hugo_Chavez_0009.jpg,data\processed\lfw\lfw\Molly_Sims\Molly_Sims_0001.jpg,Hugo_Chavez,Molly_Sims,lfw,lfw,,,,,0,-0.08485427,34.485615,1.0848542
data\processed\lfw\lfw\Hadley_Bilger\Hadley_Bilger_0001.jpg,data\processed\lfw\lfw\Jesse_Jackson\Jesse_Jackson_0005.jpg,Hadley_Bilger,Jesse_Jackson,lfw,lfw,,,,,0,-0.05902345,32.482594,1.0590235
data\processed\lfw\lfw\Keith_Urban\Keith_Urban_0001.jpg,data\processed\lfw\lfw\Zoran_Djindjic\Zoran_Djindjic_0003.jpg,Keith_Urban,Zoran_Djindjic,lfw,lfw,,,,,0,-0.22897984,37.46778,1.2289798
data\processed\lfw\lfw\Serena_Williams\Serena_Williams_0019.jpg,data\processed\lfw\lfw\Serena_Williams\Serena_Williams_0034.jpg,Serena_Williams,Serena_Williams,lfw,lfw,,,,,1,0.5616345,20.80497,0.43836552
data\processed\lfw\lfw\GL_Peiris\GL_Peiris_0001.jpg,data\processed\lfw\lfw\Miguel_Aldana_Ibarra\Miguel_Aldana_Ibarra_0001.jpg,GL_Peiris,Miguel_Aldana_Ibarra,lfw,lfw,,,,,0,0.18927062,28.767395,0.8107294
data\processed\lfw\lfw\Robert_Blake\Robert_Blake_0004.jpg,data\processed\lfw\lfw\Robert_Blake\Robert_Blake_0006.jpg,Robert_Blake,Robert_Blake,lfw,lfw,,,,,1,0.54144925,21.493649,0.45855075
data\processed\lfw\lfw\Kenny_Chesney\Kenny_Chesney_0001.jpg,data\processed\lfw\lfw\Lea_Fastow\Lea_Fastow_0001.jpg,Kenny_Chesney,Lea_Fastow,lfw,lfw,,,,,0,0.012199897,32.89339,0.9878001
data\processed\lfw\lfw\Silvio_Berlusconi\Silvio_Berlusconi_0020.jpg,data\processed\lfw\lfw\Silvio_Berlusconi\Silvio_Berlusconi_0031.jpg,Silvio_Berlusconi,Silvio_Berlusconi,lfw,lfw,,,,,1,0.73009604,17.327757,0.26990396
data\processed\lfw\lfw\Sharon_Frey\Sharon_Frey_0001.jpg,data\processed\lfw\lfw\Natalie_Maines\Natalie_Maines_0003.jpg,Sharon_Frey,Natalie_Maines,lfw,lfw,,,,,0,-0.08734033,34.47253,1.0873404
data\processed\lfw\lfw\Ann_Veneman\Ann_Veneman_0007.jpg,data\processed\lfw\lfw\Ann_Veneman\Ann_Veneman_0009.jpg,Ann_Veneman,Ann_Veneman,lfw,lfw,,,,,1,0.6183206,20.74724,0.38167942
data\processed\lfw\lfw\Dan_Morales\Dan_Morales_0002.jpg,data\processed\lfw\lfw\Dan_Morales\Dan_Morales_0003.jpg,Dan_Morales,Dan_Morales,lfw,lfw,,,,,1,0.60839516,21.876848,0.39160484
data\processed\lfw\lfw\Marion_Fahnestock\Marion_Fahnestock_0001.jpg,data\processed\lfw\lfw\Chandrika_Kumaratunga\Chandrika_Kumaratunga_0001.jpg,Marion_Fahnestock,Chandrika_Kumaratunga,lfw,lfw,,,,,0,-0.13229972,35.069256,1.1322997
data\processed\lfw\lfw\Venus_Williams\Venus_Williams_0010.jpg,data\processed\lfw\lfw\Venus_Williams\Venus_Williams_0017.jpg,Venus_Williams,Venus_Williams,lfw,lfw,,,,,1,0.6747289,17.610327,0.32527113
data\processed\lfw\lfw\Tommy_Thompson\Tommy_Thompson_0002.jpg,data\processed\lfw\lfw\Tommy_Thompson\Tommy_Thompson_0003.jpg,Tommy_Thompson,Tommy_Thompson,lfw,lfw,,,,,1,0.83555037,13.630884,0.16444963
data\processed\lfw\lfw\Paul_Wellstone\Paul_Wellstone_0001.jpg,data\processed\lfw\lfw\Paul_Wellstone\Paul_Wellstone_0002.jpg,Paul_Wellstone,Paul_Wellstone,lfw,lfw,,,,,1,0.71476734,18.306196,0.28523266
data\processed\lfw\lfw\John_Prescott\John_Prescott_0001.jpg,data\processed\lfw\lfw\Syed_Ibrahim\Syed_Ibrahim_0001.jpg,John_Prescott,Syed_Ibrahim,lfw,lfw,,,,,0,0.0017497973,34.68809,0.9982502
data\processed\lfw\lfw\Alec_Baldwin\Alec_Baldwin_0002.jpg,data\processed\lfw\lfw\Alec_Baldwin\Alec_Baldwin_0003.jpg,Alec_Baldwin,Alec_Baldwin,lfw,lfw,,,,,1,0.04190678,30.835821,0.9580932
data\processed\lfw\lfw\John_Travolta\John_Travolta_0001.jpg,data\processed\lfw\lfw\John_Travolta\John_Travolta_0005.jpg,John_Travolta,John_Travolta,lfw,lfw,,,,,1,0.5084527,23.554262,0.4915473
data\processed\lfw\lfw\Queen_Beatrix\Queen_Beatrix_0001.jpg,data\processed\lfw\lfw\Ratna_Sari_Dewi_Sukarno\Ratna_Sari_Dewi_Sukarno_0001.jpg,Queen_Beatrix,Ratna_Sari_Dewi_Sukarno,lfw,lfw,,,,,0,-0.18471293,37.40061,1.1847129
data\processed\lfw\lfw\Kevin_Gil\Kevin_Gil_0001.jpg,data\processed\lfw\lfw\Rachel_Wheatley\Rachel_Wheatley_0001.jpg,Kevin_Gil,Rachel_Wheatley,lfw,lfw,,,,,0,-0.15174867,36.74205,1.1517487
data\processed\lfw\lfw\Gabriel_Batistuta\Gabriel_Batistuta_0001.jpg,data\processed\lfw\lfw\Faisal_Saleh_Hayat\Faisal_Saleh_Hayat_0001.jpg,Gabriel_Batistuta,Faisal_Saleh_Hayat,lfw,lfw,,,,,0,-0.05716614,34.084297,1.0571661
data\processed\lfw\lfw\Gerhard_Schroeder\Gerhard_Schroeder_0008.jpg,data\processed\lfw\lfw\Gerhard_Schroeder\Gerhard_Schroeder_0093.jpg,Gerhard_Schroeder,Gerhard_Schroeder,lfw,lfw,,,,,1,0.6151941,21.101248,0.38480592
data\processed\lfw\lfw\James_Robertson_Jr\James_Robertson_Jr_0001.jpg,data\processed\lfw\lfw\Vanessa_Williams\Vanessa_Williams_0001.jpg,James_Robertson_Jr,Vanessa_Williams,lfw,lfw,,,,,0,0.14068007,30.860924,0.8593199
data\processed\lfw\lfw\George_Robertson\George_Robertson_0004.jpg,data\processed\lfw\lfw\George_Robertson\George_Robertson_0018.jpg,George_Robertson,George_Robertson,lfw,lfw,,,,,1,0.66740775,20.110918,0.33259225
data\processed\lfw\lfw\Barry_Alvarez\Barry_Alvarez_0001.jpg,data\processed\lfw\lfw\Robert_Morvillo\Robert_Morvillo_0001.jpg,Barry_Alvarez,Robert_Morvillo,lfw,lfw,,,,,0,0.11277639,30.947075,0.8872236
