image1,image2,identity1,identity2,demographic1,demographic2,gender1,gender2,age1,age2,label,cosine_similarity,euclidean_distance,cosine_distance
data\processed\lfw\lfw\Tanya_Holyk\Tanya_Holyk_0001.jpg,data\processed\lfw\lfw\David_Kelly\David_Kelly_0001.jpg,Tanya_Holyk,David_Kelly,lfw,lfw,,,,,0,0.2547051,34.30136,0.7452949
data\processed\lfw\lfw\Darrell_Royal\Darrell_Royal_0001.jpg,data\processed\lfw\lfw\Horacio_Julio_Pina\Horacio_Julio_Pina_0001.jpg,Darrell_Royal,Horacio_Julio_Pina,lfw,lfw,,,,,0,0.38531923,39.378284,0.61468077
data\processed\lfw\lfw\Lynn_Abraham\Lynn_Abraham_0002.jpg,data\processed\lfw\lfw\Brian_Wells\Brian_Wells_0002.jpg,Lynn_Abraham,Brian_Wells,lfw,lfw,,,,,0,0.2744192,34.82093,0.7255808
data\processed\lfw\lfw\Jean_Chretien\Jean_Chretien_0012.jpg,data\processed\lfw\lfw\Jean_Chretien\Jean_Chretien_0020.jpg,Jean_Chretien,Jean_Chretien,lfw,lfw,,,,,1,0.5470553,27.408669,0.4529447
data\processed\lfw\lfw\Rick_Lu\Rick_Lu_0001.jpg,data\processed\lfw\lfw\Mike_Eskew\Mike_Eskew_0001.jpg,Rick_Lu,Mike_Eskew,lfw,lfw,,,,,0,0.52414954,31.04254,0.47585046
data\processed\lfw\lfw\Tariq_Aziz\Tariq_Aziz_0003.jpg,data\processed\lfw\lfw\Tariq_Aziz\Tariq_Aziz_0005.jpg,Tariq_Aziz,Tariq_Aziz,lfw,lfw,,,,,1,0.51990545,24.459879,0.48009455
data\processed\lfw\lfw\Buddy_Ryan\Buddy_Ryan_0001.jpg,data\processed\lfw\lfw\Nate_Hybl\Nate_Hybl_0001.jpg,Buddy_Ryan,Nate_Hybl,lfw,lfw,,,,,0,0.26317292,35.020084,0.7368271
data\processed\lfw\lfw\Kaisser_Bazan\Kaisser_Bazan_0001.jpg,data\processed\lfw\lfw\Antonio_Elias_Saca\Antonio_Elias_Saca_0001.jpg,Kaisser_Bazan,Antonio_Elias_Saca,lfw,lfw,,,,,0,0.39559385,39.317833,0.6044061
data\processed\lfw\lfw\Liliana_Cavani\Liliana_Cavani_0001.jpg,data\processed\lfw\lfw\Fernando_Henrique_Cardoso\Fernando_Henrique_Cardoso_0006.jpg,Liliana_Cavani,Fernando_Henrique_Cardoso,lfw,lfw,,,,,0,0.21766569,38.435406,0.7823343
data\processed\lfw\lfw\Paul_ONeill\Paul_ONeill_0008.jpg,data\processed\lfw\lfw\Paul_ONeill\Paul_ONeill_0009.jpg,Paul_ONeill,Paul_ONeill,lfw,lfw,,,,,1,0.42435032,30.396494,0.5756497
data\processed\lfw\lfw\Laura_Hernandez\Laura_Hernandez_0002.jpg,data\processed\lfw\lfw\Allen_Rock\Allen_Rock_0001.jpg,Laura_Hernandez,Allen_Rock,lfw,lfw,,,,,0,0.2834347,35.239307,0.7165653
data\processed\lfw\lfw\John_Elway\John_Elway_0001.jpg,data\processed\lfw\lfw\Martie_Maguire\Martie_Maguire_0001.jpg,John_Elway,Martie_Maguire,lfw,lfw,,,,,0,0.2860298,37.30941,0.7139702
data\processed\lfw\lfw\Jennifer_Connelly\Jennifer_Connelly_0004.jpg,data\processed\lfw\lfw\Jeremy_Wotherspoon\Jeremy_Wotherspoon_0001.jpg,Jennifer_Connelly,Jeremy_Wotherspoon,lfw,lfw,,,,,0,0.3523531,38.316574,0.6476469
data\processed\lfw\lfw\Hugo_Chavez\Hugo_Chavez_0009.jpg,data\processed\lfw\lfw\Molly_Sims\Molly_Sims_0001.jpg,Hugo_Chavez,Molly_Sims,lfw,lfw,,,,,0,0.29906505,37.620186,0.70093495
