image1,image2,identity1,identity2,demographic1,demographic2,gender1,gender2,age1,age2,label,cosine_similarity,euclidean_distance,cosine_distance
data\processed\lfw\lfw\Tanya_Holyk\Tanya_Holyk_0001.jpg,data\processed\lfw\lfw\David_Kelly\David_Kelly_0001.jpg,Tanya_Holyk,David_Kelly,lfw,lfw,,,,,0,0.2569694,7.4279847,0.7430306
data\processed\lfw\lfw\Darrell_Royal\Darrell_Royal_0001.jpg,data\processed\lfw\lfw\Horacio_Julio_Pina\Horacio_Julio_Pina_0001.jpg,Darrell_Royal,Horacio_Julio_Pina,lfw,lfw,,,,,0,0.49809423,9.493542,0.5019058
data\processed\lfw\lfw\Lynn_Abraham\Lynn_Abraham_0002.jpg,data\processed\lfw\lfw\Brian_Wells\Brian_Wells_0002.jpg,Lynn_Abraham,Brian_Wells,lfw,lfw,,,,,0,0.15029712,8.058989,0.8497029
data\processed\lfw\lfw\Jean_Chretien\Jean_Chretien_0012.jpg,data\processed\lfw\lfw\Jean_Chretien\Jean_Chretien_0020.jpg,Jean_Chretien,Jean_Chretien,lfw,lfw,,,,,1,0.50549924,7.1808753,0.49450076
data\processed\lfw\lfw\Rick_Lu\Rick_Lu_0001.jpg,data\processed\lfw\lfw\Mike_Eskew\Mike_Eskew_0001.jpg,Rick_Lu,Mike_Eskew,lfw,lfw,,,,,0,0.5761147,6.8511367,0.4238853
data\processed\lfw\lfw\Tariq_Aziz\Tariq_Aziz_0003.jpg,data\processed\lfw\lfw\Tariq_Aziz\Tariq_Aziz_0005.jpg,Tariq_Aziz,Tariq_Aziz,lfw,lfw,,,,,1,0.4872965,6.066394,0.51270354
data\processed\lfw\lfw\Buddy_Ryan\Buddy_Ryan_0001.jpg,data\processed\lfw\lfw\Nate_Hybl\Nate_Hybl_0001.jpg,Buddy_Ryan,Nate_Hybl,lfw,lfw,,,,,0,0.48688284,7.117197,0.5131172
data\processed\lfw\lfw\Kaisser_Bazan\Kaisser_Bazan_0001.jpg,data\processed\lfw\lfw\Antonio_Elias_Saca\Antonio_Elias_Saca_0001.jpg,Kaisser_Bazan,Antonio_Elias_Saca,lfw,lfw,,,,,0,0.42975894,8.559272,0.5702411
data\processed\lfw\lfw\Liliana_Cavani\Liliana_Cavani_0001.jpg,data\processed\lfw\lfw\Fernando_Henrique_Cardoso\Fernando_Henrique_Cardoso_0006.jpg,Liliana_Cavani,Fernando_Henrique_Cardoso,lfw,lfw,,,,,0,0.23185302,9.775409,0.768147
data\processed\lfw\lfw\Paul_ONeill\Paul_ONeill_0008.jpg,data\processed\lfw\lfw\Paul_ONeill\Paul_ONeill_0009.jpg,Paul_ONeill,Paul_ONeill,lfw,lfw,,,,,1,0.3693633,7.3489184,0.6306367
data\processed\lfw\lfw\Laura_Hernandez\Laura_Hernandez_0002.jpg,data\processed\lfw\lfw\Allen_Rock\Allen_Rock_0001.jpg,Laura_Hernandez,Allen_Rock,lfw,lfw,,,,,0,0.37575516,8.979514,0.6242448
data\processed\lfw\lfw\John_Elway\John_Elway_0001.jpg,data\processed\lfw\lfw\Martie_Maguire\Martie_Maguire_0001.jpg,John_Elway,Martie_Maguire,lfw,lfw,,,,,0,0.41975713,8.037997,0.5802429
